VBA Project,GUID,Friendly name
DMC_O365SecComp,de3bd83c-286f-47cc-98ce-0d8ee20e8ac6,buy-another-subscription
DMC_O365SecComp,9dd2bdf9-7aca-4d34-ad36-0d8fa237f698,configure-data-sources-to-work-with-time-intelligence
DMC_O365SecComp,850a3831-e28d-449a-96f8-0da7116dd08a,securitycompliance-center-reports
DMC_O365SecComp,5831648d-f334-4cbe-919f-0dc02654eb3b,create-dns-records-at-media-temple-for-office-365
DMC_O365SecComp,f1951923-6f81-4e06-9744-0dd214a8bd69,create-dns-records-at-easydns
DMC_O365SecComp,a3459395-3c0c-4559-a833-0dd93948f06f,troubleshoot-office-365-message-encryption
DMC_O365SecComp,f7fb686b-8b02-4b87-863a-0de20d732b8d,خطأ-توقف،-يجب-الانتظار-لتثبيت-office-2016-علينا-إزالة-ما-يلي-إذا-قمت-بالمتابعة
DMC_O365SecComp,bb2cbf1a-cd72-44e0-9a6b-0de994564aef,create-data-connections-by-using-performancepoint-services-sharepoint-server-201
DMC_O365SecComp,03cc4387-2c7d-4058-8a44-0deefb58f011,define-highlighted-keywords-and-advanced-options
DMC_O365SecComp,40117fda-70a0-4e3d-8cd3-0def768da16c,plan-user-authentication
DMC_O365SecComp,8b46878f-5467-4fa7-936e-0df3eb10e8c7,feedback-about-non-delivery-report-5-7-136
DMC_O365SecComp,e186d224-a324-4afa-8300-0e4fc0c3000a,add-or-remove-members-from-office-365-groups-using-the-office-365-admin-center
DMC_O365SecComp,be1de0da-addb-4e6a-852c-0e68072d7f95,create-a-plan-to-upgrade-customizations
DMC_O365SecComp,963c1971-82bb-4eee-8084-0e6c6a5b4158,sfb-topologies-supported-with-modern-auth
DMC_O365SecComp,4206d59b-89b4-4081-8c07-0e77ad923355,default-user-profile-property-mappings
DMC_O365SecComp,4e7b57d6-b93b-457d-aecd-0ea58bff07a6,buy-or-edit-an-add-on
DMC_O365SecComp,02e74022-44af-414b-9d74-0ebf5c2197f0,set-application-protection-settings-for-windows-10-devices
DMC_O365SecComp,463877cf-d503-4133-a000-0ec1f3b71f92,add-a-read-only-sharepoint-calendar-to-a-public-website
DMC_O365SecComp,1a45eabd-4d7e-4f73-b427-0ed17588d0bc,create-or-edit-policies-for-android-or-ios-devices
DMC_O365SecComp,b1088a52-179f-4120-8fb5-0ed3e6c088b1,review-supported-editions-and-products-for-upgrading-to-sharepoint-2013
DMC_O365SecComp,7af845bc-f245-459f-871d-0ee06c64a184,content-type-and-workflow-planning
DMC_O365SecComp,06cc7ddb-0fc9-48f3-b20c-0ee19e216ccb,updates-to-windows-powershell-cmdlets
DMC_O365SecComp,eaf0adf4-bb52-4152-9ab8-0ee26c30fd46,create-dns-records-at-myhosting-com
DMC_O365SecComp,0adff5f5-26d3-439f-86fa-0f0f8e0b8fc5,maintain-rbs
DMC_O365SecComp,40f1d080-3523-444f-a389-0f37a40ae44a,plan-excel-services-data-model-settings
DMC_O365SecComp,ad415362-da21-42d7-a9d3-0f43cd9a2e8e,after-you-add-your-custom-domain-get-office-365-email-in-outlook
DMC_O365SecComp,f6012bb0-04c1-4c9c-a4e6-0f45133f2da0,content-databases-contain-orphaned-apps
DMC_O365SecComp,21cfb6a0-fa4c-44c6-9a39-0f45e85e371f,sharepoint-online-and-onedrive-migration-speed
DMC_O365SecComp,7a033ef9-61cc-4c35-8054-0f47c68529ca,what-s-new-in-search
DMC_O365SecComp,03a9acc9-f29c-456b-9fb2-0f49474b2708,create-and-staff-your-bookings
DMC_O365SecComp,e2e13d19-21ca-44ef-bd49-0f6120137186,how-to-display-values-from-custom-managed-properties-in-search-results-–-option
DMC_O365SecComp,ee73dafb-be54-492e-bcfd-0fbfb5f65e94,setup-overview-for-enterprises
DMC_O365SecComp,a44147be-3658-4bf0-ae39-0fca0794c01b,upgrade-farms-that-share-services
DMC_O365SecComp,bbdbd3ae-87b2-4daf-a06d-0fcb2f2f03cb,feedback-about-non-delivery-report-5-7-364
DMC_O365SecComp,1f51e8c1-92ee-4640-ba88-0fdb47344c0d,manage-onedrive-for-business
DMC_O365SecComp,75519548-f157-41fa-9b8a-0fef8a700db6,feedback-about-non-delivery-report-5-7-21
DMC_O365SecComp,3c62a3b7-1680-41ca-943c-0ff01566bace,using-the-office-365-setup-wizard
DMC_O365SecComp,a9951a07-10b3-48cb-b37a-0ffaa24931ad,export-results-in-advanced-ediscovery
DMC_O365SecComp,dc3bc558-ddee-4cfa-9b36-0ffd2a07bf6a,enable-a-user-for-dial-in-conferencing
DMC_O365SecComp,327d935d-668a-4572-a762-101a9b64f997,privacy-supplement-for-office-365-admin-mobile-app-for-windows-phone
DMC_O365SecComp,6105ecda-1dd0-4f6f-9542-102bf5c0ffe0,file-activity-in-a-document-library
DMC_O365SecComp,a53cfa0c-3d09-42c8-a286-1038a81c59da,use-the-yammer-web-part
DMC_O365SecComp,056e74ea-9428-45f8-abed-1040d8e413dd,sharepoint-server-2016-dev-test-environment-in-azure
DMC_O365SecComp,4d199a41-730f-4aac-bfd5-104727a4ab03,create-dns-records-at-dynadot
