Error Type,Topic Guid,Message
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Found a an ul list inside a table in html file:84a595b8-cd77-4f66-ac52-57a33ddd4773.xml
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Missing tables headers in file:84a595b8-cd77-4f66-ac52-57a33ddd4773.md
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Found nested table in md file:84a595b8-cd77-4f66-ac52-57a33ddd4773.md
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Fixing missing end table tag in file:84a595b8-cd77-4f66-ac52-57a33ddd4773.md
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Fixing missing end table tag in file:84a595b8-cd77-4f66-ac52-57a33ddd4773.md
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Fixing missing end table tag in file:84a595b8-cd77-4f66-ac52-57a33ddd4773.md
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Fixing missing end table tag in file:84a595b8-cd77-4f66-ac52-57a33ddd4773.md
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Fixing missing end table tag in file:84a595b8-cd77-4f66-ac52-57a33ddd4773.md
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Fixing missing end table tag in file:84a595b8-cd77-4f66-ac52-57a33ddd4773.md
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Fixing missing end table tag in file:84a595b8-cd77-4f66-ac52-57a33ddd4773.md
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Fixing missing end table tag in file:84a595b8-cd77-4f66-ac52-57a33ddd4773.md
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Found invalid tables saving file:84a595b8-cd77-4f66-ac52-57a33ddd4773.md
Warning,84a595b8-cd77-4f66-ac52-57a33ddd4773,Could not Add new line after images in md file:84a595b8-cd77-4f66-ac52-57a33ddd4773.md
Warning,86f414ad-81de-4703-b40a-c6615bbe9108,Found a an ul list inside a table in html file:86f414ad-81de-4703-b40a-c6615bbe9108.xml
